name_auction	link	serial_number	hours_used	sold_price	sold_date	country
2004 AUSA 120DH	http://www.marketbook.nl/listingsdetail/detail.aspx?OHID=10255703&LP=MAT	23539686		1.250	25-9-2014 2:01:00	Netherlands
2005 AUSA 150	http://www.marketbook.nl/listingsdetail/detail.aspx?OHID=10255649&LP=MAT	71241356	2.703	2.750	25-9-2014 2:01:00	Netherlands
2006 AUSA 150DG	http://www.marketbook.nl/listingsdetail/detail.aspx?OHID=10255637&LP=MAT	08149613		1.500	25-9-2014 2:01:00	Netherlands
2001 AUSA 150DG	http://www.marketbook.nl/listingsdetail/detail.aspx?OHID=10255635&LP=MAT			1.000	25-9-2014 2:01:00	Netherlands
2004 AUSA 150DH	http://www.marketbook.nl/listingsdetail/detail.aspx?OHID=9300419&LP=MAT	09237806		1.500	13-6-2013 2:42:00	Netherlands
2004 AUSA 150DH	http://www.marketbook.nl/listingsdetail/detail.aspx?OHID=9300421&LP=MAT	14139127		1.500	13-6-2013 2:42:00	Netherlands
2005 AUSA 200RM	http://www.marketbook.nl/listingsdetail/detail.aspx?OHID=9493821&LP=MAT	15444468	2.318	2.000	26-9-2013 4:07:00	Netherlands
2005 AUSA 200RM	http://www.marketbook.nl/listingsdetail/detail.aspx?OHID=9493825&LP=MAT	15444449	2.051	2.000	26-9-2013 4:07:00	Netherlands
2002 AUSA 300RHG	http://www.marketbook.nl/listingsdetail/detail.aspx?OHID=10095465&LP=MAT	55532059	2.791	2.750	3-7-2014 8:46:00	Netherlands
2000 AUSA 300RHG	http://www.marketbook.nl/listingsdetail/detail.aspx?OHID=9493809&LP=MAT	55525101	2.858	2.000	26-9-2013 4:03:00	Netherlands
2005 AUSA 350AHG	http://www.marketbook.nl/listingsdetail/detail.aspx?OHID=10262503&LP=MAT	61141900	2.645	3.000	25-9-2014 2:01:00	Netherlands
2005 AUSA C150H	http://www.marketbook.nl/listingsdetail/detail.aspx?OHID=9113829&LP=MAT	12142901	3.047	5.000	21-3-2013 3:03:00	Netherlands
2006 AUSA C150HX4	http://www.marketbook.nl/listingsdetail/detail.aspx?OHID=10262623&LP=MAT	12151457	1.220	5.750	25-9-2014 2:10:00	Netherlands
